gender,age_group,component,column_name,p5,p10,p25,p50,p75,p90,p95,mean,std,count
F,90세+,유연성,MESURE_IEM_012_VALUE,-12.24,-7.759999999999999,-1.0,3.7,9.0,13.0,16.68,3.5312280701754384,8.621164603482296,285
F,90세+,체성분,MESURE_IEM_018_VALUE,17.762807926295007,19.15096546096451,21.11111111111111,23.107477659451558,25.612664890855225,27.124698687418437,28.098221439726704,23.257516113009046,3.2759962694426594,313
M,10-19세,근력,MESURE_IEM_008_VALUE,15.4,18.2,26.8,36.7,43.6,49.5,53.0,35.31456472161183,11.601494895231417,312639
M,10-19세,심폐지구력,MESURE_IEM_020_VALUE,13.0,19.0,30.0,44.0,62.0,79.0,92.0,47.25426002906354,23.868713578284968,256679
M,10-19세,코어,MESURE_IEM_019_VALUE,25.0,30.0,37.0,45.0,52.0,58.0,61.0,44.36361184425993,11.324696100335272,51907
M,10-19세,유연성,MESURE_IEM_012_VALUE,-10.0,-5.8,1.5,7.8,14.0,19.0,22.0,7.27757520969902,9.62927531401483,312114
M,10-19세,민첩성,MESURE_IEM_022_VALUE,122.0,135.0,160.0,190.0,217.0,236.0,246.0,187.55609333876794,42.71539893283853,223262
M,10-19세,체성분,MESURE_IEM_018_VALUE,16.740996597637903,17.7778247804079,19.845149148636914,22.53613725195437,25.655647059659316,29.12819074708384,31.536650058855816,23.098939443552847,4.557603533054688,313324
M,20-29세,근력,MESURE_IEM_008_VALUE,33.4,36.1,40.5,45.5,50.6,55.4,58.5,45.62274001031194,7.7802743434639,77580
M,20-29세,심폐지구력,MESURE_IEM_020_VALUE,18.0,23.120000000000026,33.0,44.0,56.0,64.0,71.0,44.78938392683401,16.702523496162488,25695
M,20-29세,코어,MESURE_IEM_019_VALUE,25.0,30.0,37.0,45.0,52.0,58.0,61.0,44.2778024852845,11.256715890607689,76450
M,20-29세,유연성,MESURE_IEM_012_VALUE,-9.0,-4.2,3.7,10.2,15.7,19.8,22.1,8.996278558817759,9.36730739400065,76465
